Code,Grouping,Classification,Specialization,Definition,Notes,Display Name,Section
207K00000X,Allopathic & Osteopathic Physicians,Allergy & Immunology,,"An allergist-immunologist is trained in evaluation, physical and laboratory diagnosis, and management of disorders involving the immune system. Selected examples of such conditions include asthma, anaphylaxis, rhinitis, eczema, and adverse reactions to drugs, foods, and insect stings as well as immune deficiency diseases (both acquired and congenital), defects in host defense, and problems related to autoimmune disease, organ transplantation, or malignancies of the immune system.","Source: American Board of Medical Specialties, 2007, www.abms.org  [7/1/2007: added definition, added source]  Additional Resources: American Board of Allergy and Immunology, 2007.  http://www.abai.org/   No subspecialty certificates in allergy and immunology are offered by the American Board of Allergy and Immunology (ABAI). The ABAI, however, does offer formal special pathways for physicians seeking dual certification in allergy/immunology and pediatric pulmonology; allergy/immunology and pediatric rheumatology; and allergy/immunology and adult rheumatology.",Allergy & Immunology Physician,Individual
207KA0200X,Allopathic & Osteopathic Physicians,Allergy & Immunology,Allergy,"A physician who specializes in the diagnosis, treatment, and management of allergies.",Source: National Uniform Claim Committee,Allergy Physician,Individual
207KI0005X,Allopathic & Osteopathic Physicians,Allergy & Immunology,Clinical & Laboratory Immunology,An allergy and immunology physician who specializes in clinical and laboratory immunology disease management..,"Source: National Uniform Claim Committee, 2022  <br/>Additional Resources: A certification was, but is no longer, issued by the American Board of Allergy and Immunology.",Clinical & Laboratory Immunology (Allergy & Immunology) Physician,Individual
207L00000X,Allopathic & Osteopathic Physicians,Anesthesiology,,"An anesthesiologist is trained to provide pain relief and maintenance, or restoration, of a stable condition during and immediately following an operation or an obstetric or diagnostic procedure. The anesthesiologist assesses the risk of the patient undergoing surgery and optimizes the patient's condition prior to, during and after surgery. In addition to these management responsibilities, the anesthesiologist provides medical management and consultation in pain management and critical care medicine. Anesthesiologists diagnose and treat acute, long-standing and cancer pain problems; diagnose and treat patients with critical illnesses or severe injuries; direct resuscitation in the care of patients with cardiac or respiratory emergencies, including the need for artificial ventilation; and supervise post-anesthesia recovery.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007:  added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Anesthesiology, 2007.  http://www.theaba.org/; American Osteopathic Board of Anesthesiology, 2007, http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Anesthesiology.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Anesthesiology.",Anesthesiology Physician,Individual
207LA0401X,Allopathic & Osteopathic Physicians,Anesthesiology,Addiction Medicine,An anesthesiologist who specializes in the diagnosis and treatment of addictions.,"Source: National Uniform Claim Committee, 2009 [1/1/2010: definition added, source added]    Additional Resources: A Certification of Added Qualifications (CAQ) was, but is no longer issued by the American Osteopathic Board of Anesthesiology.",Addiction Medicine (Anesthesiology) Physician,Individual
207LC0200X,Allopathic & Osteopathic Physicians,Anesthesiology,Critical Care Medicine,"An anesthesiologist, who specializes in critical care medicine diagnoses, treats and supports patients with multiple organ dysfunction. This specialist may have administrative responsibilities for intensive care units and may also facilitate and coordinate patient care among the primary physician, the critical care staff and other specialists.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007:  added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Anesthesiology, 2007.  http://www.theaba.org/; American Osteopathic Board of Anesthesiology, 2007, http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Anesthesiology.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Anesthesiology.",Critical Care Medicine (Anesthesiology) Physician,Individual
207LH0002X,Allopathic & Osteopathic Physicians,Anesthesiology,Hospice and Palliative Medicine,"An anesthesiologist with special knowledge and skills to prevent and relieve the suffering experienced by patients with life-limiting illnesses. This specialist works with an interdisciplinary hospice or palliative care team to maximize quality of life while addressing physical, psychological, social and spiritual needs of both patient and family throughout the course of the disease, through the dying process, and beyond for the family.  This specialist has expertise in the assessment of patients with advanced disease; the relief of distressing symptoms; the coordination of interdisciplinary patient and family-centered care in diverse venues; the use of specialized care systems including hospice; the management of the imminently dying patient; and legal and ethical decision making in end-of-life care.","Source: American Academy of Hospice and Palliative Medicine, www.aahpm.org [1/1/2007: new]",Hospice and Palliative Medicine (Anesthesiology) Physician,Individual
207LP2900X,Allopathic & Osteopathic Physicians,Anesthesiology,Pain Medicine,"An anesthesiologist who provides a high level of care, either as a primary physician or consultant, for patients experiencing problems with acute, chronic and/or cancer pain in both hospital and ambulatory settings. Patient care needs are also coordinated with other specialists.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007:  added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Anesthesiology, 2007.  http://www.theaba.org/; American Osteopathic Board of Anesthesiology, 2007, http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Anesthesiology.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Anesthesiology.",Pain Medicine (Anesthesiology) Physician,Individual
207LP3000X,Allopathic & Osteopathic Physicians,Anesthesiology,Pediatric Anesthesiology,"An anesthesiologist who has had additional skill and experience in and is primarily concerned with the anesthesia, sedation, and pain management needs of infants and children.  A pediatric anesthesiologist generally provides services including the evaluation of complex medical problems in infants and children when surgery is necessary,  planning and care for children before and after surgery, pain control, anesthesia and sedation for any procedures out of the operating room such as MRI, CT scan, and radiation therapy.","Source: American Academy of Pediatrics, www.aap.org [7/1/2006: new]",Pediatric Anesthesiology Physician,Individual
207LP4000X,Allopathic & Osteopathic Physicians,Anesthesiology,Physician Nutrition Specialist,"A physician who specializes in the diagnosis and treatment of primary nutritional diseases (e.g., undernutrition, overnutrition, and genetic or acquired errors of metabolism) and adjunctive nutritional therapeutics (e.g., nutritional therapy or support of diseases states with a metabolic component). Physician Nutrition Specialists also provide services for nutritional disease prevention, including diabetes, cancer, Alzheimer’s, hospital malnutrition screening, and perioperative nutrition.","Source: National Board of Physician Nutrition Specialists, www.nbpns.org.",Physician Nutrition Specialist (Anesthesiology),Individual
208U00000X,Allopathic & Osteopathic Physicians,Clinical Pharmacology,,"Clinical pharmacology encompasses the spectrum of activities related to the discovery, development, regulation, and utilization of safe and effective drugs.","Source: American Society for Clinical Pharmacology and Therapeutics, 2008  [7/1/2008: modified definition]    Additional Resources: Clinical pharmacology is a recognized fellowship program for physicians, pharmacists, and post-doctoral researchers delivered through medical education institutions accredited by the American Board of Clinical Pharmacology. http://www.ascpt.org/; American Board of Clinical Pharmacology http://www.abcp.net/",Clinical Pharmacology Physician,Individual
208C00000X,Allopathic & Osteopathic Physicians,Colon & Rectal Surgery,,"A colon and rectal surgeon is trained to diagnose and treat various diseases of the intestinal tract, colon, rectum, anal canal and perianal area by medical and surgical means. This specialist also deals with other organs and tissues (such as the liver, urinary and female reproductive system) involved with primary intestinal disease.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007:  added definition, added source]    Additional Resources: American Board of Colon and Rectal Surgery, 2007.  http://www.abcrs.org/.    Board certification for Medical Doctors (MDs) is provided by the American Board of Colon and Rectal Surgery.    Colon and rectal surgeons have the expertise to diagnose and often manage anorectal conditions such as hemorrhoids, fissures (painful tears in the anal lining), abscesses and fistulae (infections located around the anus and rectum) in the office setting. They also treat problems of the intestine and colon, and perform endoscopic procedures to evaluate and treat problems such as cancer, polyps (precancerous growths) and inflammatory conditions.",Colon & Rectal Surgery Physician,Individual
207N00000X,Allopathic & Osteopathic Physicians,Dermatology,,"A dermatologist is trained to diagnose and treat pediatric and adult patients with benign and malignant disorders of the skin, mouth, external genitalia, hair and nails, as well as a number of sexually transmitted diseases. The dermatologist has had additional training and experience in the diagnosis and treatment of skin cancers, melanomas, moles and other tumors of the skin, the management of contact dermatitis and other allergic and nonallergic skin disorders, and in the recognition of the skin manifestations of systemic (including internal malignancy) and infectious diseases. Dermatologists have special training in dermatopathology and in the surgical techniques used in dermatology. They also have expertise in the management of cosmetic disorders of the skin such as hair loss and scars and the skin changes associated with aging.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source]    Additional Resources: American Board of Dermatology, 2007.  http://www.abderm.org/    Board certification is provided by the American Board of Dermatology.",Dermatology Physician,Individual
207NI0002X,Allopathic & Osteopathic Physicians,Dermatology,Clinical & Laboratory Dermatological Immunology,A dermatologist who utilizes various specialized laboratory procedures to diagnose disorders characterized by defective responses of the body's immune system. Immunodermatologists also may provide consultation in the management of these disorders and administer specialized forms of therapy for these diseases.,"Source: American Board of Medical Specialties, 2007.  www.abms.org  [7/1/2007: added definition, added source]    Additional Resources: American Board of Dermatology, 2007.  http://www.abderm.org/    Board certification is provided by the American Board of Dermatology.",Clinical & Laboratory Dermatological Immunology Physician,Individual
207ND0900X,Allopathic & Osteopathic Physicians,Dermatology,Dermatopathology,"A dermatopathologist has the expertise to diagnose and monitor diseases of the skin including infectious, immunologic, degenerative and neoplastic diseases. This entails the examination and interpretation of specially prepared tissue sections, cellular scrapings and smears of skin lesions by means of routine and special (electron and fluorescent) microscopes.","Source: American Board of Medical Specialties, 2007.  www.abms.org  [7/1/2007: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Dermatology, 2007.  http://www.abderm.org/; American Osteopathic Board of Dermatology, 2007. http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Dermatology.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Dermatology.",Dermatopathology Physician,Individual
207ND0101X,Allopathic & Osteopathic Physicians,Dermatology,MOHS-Micrographic Surgery,"The highly-trained surgeons that perform Mohs Micrographic Surgery are specialists both in dermatology and pathology. With their extensive knowledge of the skin and unique pathological skills, they are able to remove only diseased tissue, preserving healthy tissue and minimizing the cosmetic impact of the surgery.  Mohs surgeons who belong to the American College of Mohs Surgery (ACMS) have completed a minimum of one year of fellowship training at one of the ACMS-approved training centers in the U.S.","Source: American College of Mohs Surgery, 2007 [1/1/2008: added definition, added source]  Additional Resources: Additional Resources: http://www.mohscollege.org/; American Board of Dermatology, 2007.  http://www.abderm.org/",MOHS-Micrographic Surgery Physician,Individual
207NP0225X,Allopathic & Osteopathic Physicians,Dermatology,Pediatric Dermatology,"A pediatric dermatologist has, through additional special training, developed expertise in the treatment of specific skin disease categories with emphasis on those diseases which predominate in infants, children and adolescents.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: changed definition, added source]    Additional Resources: American Board of Dermatology, 2007, http://www.abderm.org/  A subspecialty certificate was approved by ABMS in 2000.    ACGME Accredited Residency Program Requirements:  None.",Pediatric Dermatology Physician,Individual
207NS0135X,Allopathic & Osteopathic Physicians,Dermatology,Procedural Dermatology,"Procedural Dermatology, a subspecialty of Dermatology, encompassing a wide variety of surgical procedures and methods to remove or modify skin tissue for health or cosmetic benefit. These methods include scalpel surgery, laser surgery, chemical surgery, cryosurgery (liquid nitrogen), electrosurgery, aspiration surgery, liposuction, injection of filler substances, and Mohs micrographic controlled surgery (a special technique for the removal of growths, especially skin cancers).","Source: American Board of Dermatology, 2007, www.abderm.org [1/1/2008: definition added, source added, title changed]    Additional Resources:  Some ABMS board certified dermatologists have completed a one-year ACGME approved fellowship in Procedural Dermatology, which has been offered since 2003. At this time the ABD does not offer subspecialty certification in Procedural Dermatology.",Procedural Dermatology Physician,Individual
204R00000X,Allopathic & Osteopathic Physicians,Electrodiagnostic Medicine,,"Electrodiagnostic medicine is the medical subspecialty that applies neurophysiologic techniques to diagnose, evaluate, and treat patients with impairments of the neurologic, neuromuscular, and/or muscular systems.  Qualified physicians are trained in performing electrophysiological testing and interpretation of the test data.  They require knowledge in anatomy, physiology, kinesiology, histology, and pathology of the brain, spinal cord, autonomic nerves, cranial nerves, peripheral nerves, neuromuscular junction, and muscles. They must know clinical features and treatment of diseases of the central, peripheral, and autonomic nervous systems, as well as those of neuromuscular junction and muscle. Physicians also require special knowledge about electric signal processing, including waveform analysis, electronics and instrumentation, stimulation and recording equipment, and statistics.","Source: American Association of Neuromuscular & Electrodiagnostic Medicine, 2011. www.aanem.org [1/1/2011: new]  Additional Resources:  American Board of Electrodiagnostic Medicine, 2011.  www.abemexam.org",Electrodiagnostic Medicine Physician,Individual
207P00000X,Allopathic & Osteopathic Physicians,Emergency Medicine,,"An emergency physician focuses on the immediate decision making and action necessary to prevent death or any further disability both in the pre-hospital setting by directing emergency medical technicians and in the emergency department. The emergency physician provides immediate recognition, evaluation, care, stabilization and disposition of a generally diversified population of adult and pediatric patients in response to acute illness and injury.","Source: American Board of Medical Specialties, 2007.  www.abms.org [7/1/2007: added definition, added source; 7/1/2011: modified source]<br/>Additional Resources: American Board of Emergency Medicine, 2007.  http://www.abem.org/public/; American Osteopathic Board of Emergency Medicine, 2007. http://www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Emergency Medicine.  Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Emergency Medicine.",Emergency Medicine Physician,Individual
207PE0004X,Allopathic & Osteopathic Physicians,Emergency Medicine,Emergency Medical Services,"An emergency medicine physician who specializes in non-hospital based emergency medical services (e.g., disaster site, accident scene, transport vehicle, etc.) to provide pre-hospital assessment, treatment, and transport patients.","Source: National Uniform Claim Committee, 2009 [1/1/2010: definition added, source added]    Additional Resources: A Certification of Added Qualifications (CAQ) is issued by the American Osteopathic Board of Emergency Medicine.",Emergency Medical Services (Emergency Medicine) Physician,Individual
207PH0002X,Allopathic & Osteopathic Physicians,Emergency Medicine,Hospice and Palliative Medicine,"An emergency medicine physician with special knowledge and skills to prevent and relieve the suffering experienced by patients with life-limiting illnesses. This specialist works with an interdisciplinary hospice or palliative care team to maximize quality of life while addressing physical, psychological, social and spiritual needs of both patient and family throughout the course of the disease, through the dying process, and beyond for the family.  This specialist has expertise in the assessment of patients with advanced disease; the relief of distressing symptoms; the coordination of interdisciplinary patient and family-centered care in diverse venues; the use of specialized care systems including hospice; the management of the imminently dying patient; and legal and ethical decision making in end-of-life care.","Source: American Academy of Hospice and Palliative Medicine, www.aahpm.org [1/1/2007: new]",Hospice and Palliative Medicine (Emergency Medicine) Physician,Individual
